epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.74204,2.23294,3.84519,1.40643,0.00333,1,0.36431,0.13474,1.37338,3.74554,1.02177,0.00032,0.00032,0.00032
2,9.93547,1.53471,2.08035,1.20042,0.00299,0.89706,0.01828,0.0072,1.31235,3.84027,1.16345,0.000653466,0.000653466,0.000653466
3,14.4328,1.42873,1.72958,1.15832,0.00324,0.97059,0.00707,0.00373,1.21596,3.6061,1.26371,0.0009802,0.0009802,0.0009802
4,18.8442,1.34454,1.53442,1.13714,0.00319,0.95588,0.0044,0.00273,1.09618,3.56353,1.19668,0.0013002,0.0013002,0.0013002
5,23.2865,1.24932,1.37448,1.09677,0.01453,0.01471,0.06425,0.03811,1.35499,2.89085,1.44758,0.00161347,0.00161347,0.00161347
6,27.8291,1.22141,1.3653,1.06363,0.23272,0.80882,0.2211,0.13412,1.27853,2.32379,1.25275,0.001901,0.001901,0.001901
7,32.6852,1.28634,1.29419,1.0911,0.79857,0.97059,0.90455,0.54976,1.4658,1.6949,1.20174,0.0018812,0.0018812,0.0018812
8,37.1657,1.31106,1.24329,1.08929,0.48018,0.60294,0.5257,0.32921,1.36988,2.59339,1.19871,0.0018614,0.0018614,0.0018614
9,42.0188,1.2809,1.13369,1.0772,0.42557,0.55882,0.39028,0.24205,1.22902,2.24176,1.15562,0.0018416,0.0018416,0.0018416
10,46.7265,1.18892,1.01904,1.05047,1,0.94939,0.98776,0.61881,1.24706,0.97398,1.1194,0.0018218,0.0018218,0.0018218
11,51.6947,1.14648,1.01998,1.04906,0.8049,1,0.87062,0.55046,1.14334,0.93888,1.06685,0.001802,0.001802,0.001802
12,56.8831,1.15657,0.9426,1.05936,0.97126,0.99395,0.98938,0.58472,1.45468,1.06726,1.13801,0.0017822,0.0017822,0.0017822
13,61.7453,1.13683,0.86198,1.03522,0.98362,0.98529,0.99414,0.65669,1.18793,0.71906,1.10082,0.0017624,0.0017624,0.0017624
14,66.3191,1.0418,0.81153,1.00859,0.99069,1,0.995,0.63301,1.27639,0.75682,1.1571,0.0017426,0.0017426,0.0017426
15,70.6138,1.12099,0.78261,1.03857,0.98379,0.98529,0.99324,0.56598,1.51945,0.75544,1.24596,0.0017228,0.0017228,0.0017228
