epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.03669,1.64587,0.91927,1.03487,1,0.9828,0.99154,0.76466,0.88036,0.49218,0.97067,0.00046,0.00046,0.00046
2,13.8593,1.45822,0.80979,0.9466,0.99885,0.98529,0.99239,0.733,0.99438,0.51218,0.98469,0.000930694,0.000930694,0.000930694
3,19.2937,1.41646,0.75117,0.95217,0.99806,0.98529,0.98993,0.6647,1.18042,0.55408,1.08587,0.00139188,0.00139188,0.00139188
4,24.6309,1.4439,0.72297,0.97323,0.97043,0.96516,0.97959,0.66439,1.17313,0.57131,1.12417,0.00184357,0.00184357,0.00184357
5,29.9878,1.42967,0.74765,0.95725,0.97007,0.95327,0.97627,0.68824,1.2796,0.61058,1.09803,0.0019208,0.0019208,0.0019208
6,35.0893,1.35125,0.68998,0.9184,0.99657,0.91176,0.95406,0.68006,1.06881,0.61223,1.04127,0.001901,0.001901,0.001901
7,40.7476,1.4045,0.70917,0.94432,0.9843,0.92182,0.95674,0.70697,0.96914,0.53937,1.01264,0.0018812,0.0018812,0.0018812
8,46.2304,1.34442,0.67378,0.93371,0.99657,0.91176,0.95585,0.69857,1.07895,0.65121,1.0565,0.0018614,0.0018614,0.0018614
9,52.9724,1.34215,0.69956,0.94229,0.97679,0.91176,0.95972,0.61715,1.43264,0.70351,1.19085,0.0018416,0.0018416,0.0018416
10,59.351,1.3511,0.69175,0.92923,0.97749,0.95588,0.97638,0.6997,1.20932,0.64097,1.13418,0.0018218,0.0018218,0.0018218
11,65.6973,1.28676,0.6735,0.90249,0.99531,0.92647,0.96914,0.59308,1.35118,0.66234,1.18248,0.001802,0.001802,0.001802
12,72.3134,1.32775,0.64659,0.92677,0.99186,0.91176,0.95904,0.69646,1.10944,0.60094,1.07171,0.0017822,0.0017822,0.0017822
13,78.9932,1.2785,0.6632,0.8994,0.99547,0.91176,0.9689,0.74829,0.8579,0.56619,0.99275,0.0017624,0.0017624,0.0017624
14,85.0977,1.30301,0.6842,0.92159,0.97008,0.95376,0.98395,0.74526,0.91065,0.52194,0.97534,0.0017426,0.0017426,0.0017426
15,90.8142,1.3139,0.66034,0.9051,0.99395,0.91176,0.97533,0.69008,1.14713,0.6108,1.09512,0.0017228,0.0017228,0.0017228
16,96.1794,1.28918,0.65555,0.91593,1,0.95163,0.98312,0.72605,1.03231,0.56768,1.04054,0.001703,0.001703,0.001703
17,103.174,1.30304,0.63739,0.90959,1,0.93179,0.98022,0.63084,1.19385,0.55482,1.06044,0.0016832,0.0016832,0.0016832
18,109.446,1.22621,0.64699,0.90018,0.99819,0.95588,0.9857,0.73484,0.98788,0.50962,1.0122,0.0016634,0.0016634,0.0016634
19,115.108,1.21962,0.61069,0.89515,0.99618,0.94118,0.98582,0.64533,1.29711,0.54118,1.2147,0.0016436,0.0016436,0.0016436
20,120.417,1.27992,0.61308,0.90429,0.97251,0.92647,0.95994,0.70074,1.07101,0.62104,1.06348,0.0016238,0.0016238,0.0016238
21,126.263,1.24545,0.64074,0.91342,0.99319,0.94118,0.97078,0.66681,1.19986,0.55456,1.09745,0.001604,0.001604,0.001604
